2025-07-15 01:36:57,908 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/mojang/datafixerupper/8.0.16/datafixerupper-8.0.16.jar HTTP/1.1" 200 724313
2025-07-15 01:36:58,158 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:58,297 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/mojang/patchy/2.2.10/patchy-2.2.10.jar HTTP/1.1" 200 4439
2025-07-15 01:36:58,312 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:58,322 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/mojang/logging/1.5.10/logging-1.5.10.jar HTTP/1.1" 200 19800
2025-07-15 01:36:58,462 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:58,683 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/mojang/text2speech/1.18.11/text2speech-1.18.11.jar HTTP/1.1" 200 13842
2025-07-15 01:36:58,785 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:58,893 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/nimbusds/content-type/2.3/content-type-2.3.jar HTTP/1.1" 200 8877
2025-07-15 01:36:58,944 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:59,062 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/nimbusds/lang-tag/1.7/lang-tag-1.7.jar HTTP/1.1" 200 11170
2025-07-15 01:36:59,116 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:59,517 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/nimbusds/nimbus-jose-jwt/9.40/nimbus-jose-jwt-9.40.jar HTTP/1.1" 200 810931
2025-07-15 01:36:59,668 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/nimbusds/oauth2-oidc-sdk/11.18/oauth2-oidc-sdk-11.18.jar HTTP/1.1" 200 896918
2025-07-15 01:36:59,721 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /commons-codec/commons-codec/1.17.1/commons-codec-1.17.1.jar HTTP/1.1" 200 372687
2025-07-15 01:36:59,753 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:59,900 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:36:59,943 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:00,111 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /com/mojang/authlib/6.0.58/authlib-6.0.58.jar HTTP/1.1" 200 115810
2025-07-15 01:37:00,224 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /commons-io/commons-io/2.17.0/commons-io-2.17.0.jar HTTP/1.1" 200 515978
2025-07-15 01:37:00,381 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:00,500 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /io/netty/netty-buffer/4.1.118.Final/netty-buffer-4.1.118.Final.jar HTTP/1.1" 200 339045
2025-07-15 01:37:00,549 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /commons-logging/commons-logging/1.3.4/commons-logging-1.3.4.jar HTTP/1.1" 200 73721
2025-07-15 01:37:00,665 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:00,686 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:00,979 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /io/netty/netty-codec/4.1.118.Final/netty-codec-4.1.118.Final.jar HTTP/1.1" 200 355199
2025-07-15 01:37:01,136 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:01,223 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /io/netty/netty-handler/4.1.118.Final/netty-handler-4.1.118.Final.jar HTTP/1.1" 200 580162
2025-07-15 01:37:01,259 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /io/netty/netty-common/4.1.118.Final/netty-common-4.1.118.Final.jar HTTP/1.1" 200 719225
2025-07-15 01:37:01,409 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:01,504 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:01,646 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /io/netty/netty-resolver/4.1.118.Final/netty-resolver-4.1.118.Final.jar HTTP/1.1" 200 37842
2025-07-15 01:37:01,960 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:02,045 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /io/netty/netty-transport-classes-epoll/4.1.118.Final/netty-transport-classes-epoll-4.1.118.Final.jar HTTP/1.1" 200 147621
2025-07-15 01:37:02,135 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:02,141 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /io/netty/netty-transport-native-unix-common/4.1.118.Final/netty-transport-native-unix-common-4.1.118.Final.jar HTTP/1.1" 200 44157
2025-07-15 01:37:02,489 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:02,515 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /io/netty/netty-transport/4.1.118.Final/netty-transport-4.1.118.Final.jar HTTP/1.1" 200 521428
2025-07-15 01:37:02,866 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /net/java/dev/jna/jna-platform/5.15.0/jna-platform-5.15.0.jar HTTP/1.1" 200 1376668
2025-07-15 01:37:03,079 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:03,441 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /net/java/dev/jna/jna/5.15.0/jna-5.15.0.jar HTTP/1.1" 200 2001532
2025-07-15 01:37:03,753 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:03,755 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /it/unimi/dsi/fastutil/8.5.15/fastutil-8.5.15.jar HTTP/1.1" 200 23730770
2025-07-15 01:37:04,075 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /net/minidev/accessors-smart/2.5.1/accessors-smart-2.5.1.jar HTTP/1.1" 200 30305
2025-07-15 01:37:04,256 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:04,595 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /net/minidev/json-smart/2.5.1/json-smart-2.5.1.jar HTTP/1.1" 200 122291
2025-07-15 01:37:04,675 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:05,001 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /net/sf/jopt-simple/jopt-simple/5.0.4/jopt-simple-5.0.4.jar HTTP/1.1" 200 78146
2025-07-15 01:37:05,083 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:05,411 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/apache/commons/commons-compress/1.27.1/commons-compress-1.27.1.jar HTTP/1.1" 200 1087319
2025-07-15 01:37:05,429 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:05,622 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:05,977 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/apache/httpcomponents/httpclient/4.5.14/httpclient-4.5.14.jar HTTP/1.1" 200 785639
2025-07-15 01:37:06,190 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:06,533 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/apache/httpcomponents/httpcore/4.4.16/httpcore-4.4.16.jar HTTP/1.1" 200 327891
2025-07-15 01:37:06,580 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/apache/commons/commons-lang3/3.17.0/commons-lang3-3.17.0.jar HTTP/1.1" 200 673587
2025-07-15 01:37:06,713 | DEBUG | urllib3.connectionpool | Starting new HTTPS connection (1): libraries.minecraft.net:443
2025-07-15 01:37:07,037 | DEBUG | urllib3.connectionpool | https://libraries.minecraft.net:443 "GET /org/apache/logging/log4j/log4j-api/2.24.1/log4j-api-2.24.1.jar HTTP/1.1" 200 348428
